Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
3308.537,NOR,1,1.0,87.198,,33.656,24.811,1.0,MEDIUM,1.0,True,McLaren,1,4.0,False,237.0,252.0,297.0,293.0,,,False,,False
3390.788,NOR,1,2.0,82.251,23.744,33.611,24.896,1.0,MEDIUM,2.0,True,McLaren,1,4.0,True,241.0,246.0,296.0,335.0,,,False,,False
3473.21,NOR,1,3.0,82.422,23.976,33.5,24.946,1.0,MEDIUM,3.0,True,McLaren,1,4.0,True,245.0,263.0,293.0,340.0,,,False,,False
3555.983,NOR,1,4.0,82.773,23.999,33.552,25.222,1.0,MEDIUM,4.0,True,McLaren,1,4.0,True,242.0,252.0,293.0,334.0,,,False,,False
3639.27,NOR,1,5.0,83.287,24.189,33.813,25.285,1.0,MEDIUM,5.0,True,McLaren,1,4.0,True,245.0,254.0,292.0,332.0,,,False,,False
3722.496,NOR,1,6.0,83.226,24.222,33.707,25.297,1.0,MEDIUM,6.0,True,McLaren,1,4.0,True,250.0,251.0,291.0,331.0,,,False,,False
3805.853,NOR,1,7.0,83.357,24.175,33.895,25.287,1.0,MEDIUM,7.0,True,McLaren,1,4.0,True,259.0,256.0,291.0,330.0,,,False,,False
3889.245,NOR,1,8.0,83.392,24.237,33.773,25.382,1.0,MEDIUM,8.0,True,McLaren,1,4.0,True,247.0,256.0,292.0,330.0,,,False,,False
3972.746,NOR,1,9.0,83.501,24.26,33.774,25.467,1.0,MEDIUM,9.0,True,McLaren,1,4.0,True,252.0,256.0,290.0,330.0,,,False,,False
4056.065,NOR,1,10.0,83.319,24.292,33.706,25.321,1.0,MEDIUM,10.0,True,McLaren,1,4.0,True,252.0,258.0,292.0,330.0,,,False,,False
4139.466,NOR,1,11.0,83.401,24.283,33.758,25.36,1.0,MEDIUM,11.0,True,McLaren,1,3.0,True,257.0,261.0,290.0,332.0,,,False,,False
4223.084,NOR,1,12.0,83.618,24.221,33.969,25.428,1.0,MEDIUM,12.0,True,McLaren,1,3.0,True,254.0,247.0,290.0,331.0,,,False,,False
4310.93,NOR,1,13.0,87.846,24.308,33.977,29.561,1.0,MEDIUM,13.0,True,McLaren,1,2.0,False,258.0,248.0,,330.0,,4308.151,False,,False
4411.581,NOR,1,14.0,100.651,43.21,32.876,24.565,2.0,HARD,1.0,True,McLaren,1,6.0,False,258.0,266.0,296.0,262.0,4329.971,,False,,False
4493.651,NOR,1,15.0,82.07,24.024,33.249,24.797,2.0,HARD,2.0,True,McLaren,1,5.0,True,247.0,260.0,294.0,329.0,,,False,,False
4575.844,NOR,1,16.0,82.193,23.947,33.261,24.985,2.0,HARD,3.0,True,McLaren,1,5.0,True,248.0,262.0,295.0,332.0,,,False,,False
4657.788,NOR,1,17.0,81.944,23.89,33.232,24.822,2.0,HARD,4.0,True,McLaren,1,4.0,True,252.0,264.0,293.0,332.0,,,False,,False
4739.769,NOR,1,18.0,81.981,23.788,33.283,24.91,2.0,HARD,5.0,True,McLaren,1,4.0,True,263.0,265.0,293.0,331.0,,,False,,False
4822.123,NOR,1,19.0,82.354,23.972,33.368,25.014,2.0,HARD,6.0,True,McLaren,1,4.0,True,255.0,263.0,294.0,332.0,,,False,,False
4904.366,NOR,1,20.0,82.243,23.843,33.384,25.016,2.0,HARD,7.0,True,McLaren,1,4.0,True,258.0,265.0,292.0,330.0,,,False,,False
4986.741,NOR,1,21.0,82.375,23.963,33.337,25.075,2.0,HARD,8.0,True,McLaren,1,4.0,True,258.0,257.0,293.0,330.0,,,False,,False
5068.763,NOR,1,22.0,82.022,23.827,33.197,24.998,2.0,HARD,9.0,True,McLaren,1,4.0,True,260.0,263.0,293.0,330.0,,,False,,False
5151.042,NOR,1,23.0,82.279,23.938,33.372,24.969,2.0,HARD,10.0,True,McLaren,1,4.0,True,260.0,261.0,293.0,331.0,,,False,,False
5233.486,NOR,1,24.0,82.444,23.965,33.349,25.13,2.0,HARD,11.0,True,McLaren,1,4.0,True,253.0,257.0,295.0,332.0,,,False,,False
5315.949,NOR,1,25.0,82.463,23.696,33.686,25.081,2.0,HARD,12.0,True,McLaren,1,4.0,True,252.0,251.0,293.0,345.0,,,False,,False
5398.613,NOR,1,26.0,82.664,23.976,33.641,25.047,2.0,HARD,13.0,True,McLaren,1,4.0,True,248.0,258.0,295.0,334.0,,,False,,False
5481.522,NOR,1,27.0,82.909,23.984,33.774,25.151,2.0,HARD,14.0,True,McLaren,1,3.0,True,252.0,259.0,293.0,332.0,,,False,,False
5564.182,NOR,1,28.0,82.66,23.984,33.678,24.998,2.0,HARD,15.0,True,McLaren,1,3.0,True,259.0,262.0,293.0,335.0,,,False,,False
5647.436,NOR,1,29.0,83.254,23.926,33.566,25.762,2.0,HARD,16.0,True,McLaren,1,3.0,True,260.0,255.0,289.0,331.0,,,False,,False
5730.592,NOR,1,30.0,83.156,24.034,33.865,25.257,2.0,HARD,17.0,True,McLaren,1,3.0,True,254.0,257.0,292.0,344.0,,,False,,False
5813.539,NOR,1,31.0,82.947,24.044,33.558,25.345,2.0,HARD,18.0,True,McLaren,1,3.0,True,256.0,255.0,292.0,330.0,,,False,,False
5897.136,NOR,1,32.0,83.597,24.072,34.168,25.357,2.0,HARD,19.0,True,McLaren,1,3.0,True,255.0,262.0,294.0,332.0,,,False,,False
5979.985,NOR,1,33.0,82.849,23.966,33.715,25.168,2.0,HARD,20.0,True,McLaren,1,3.0,True,260.0,259.0,291.0,343.0,,,False,,False
6063.1,NOR,1,34.0,83.115,24.053,33.75,25.312,2.0,HARD,21.0,True,McLaren,1,3.0,True,259.0,260.0,294.0,330.0,,,False,,False
6150.399,NOR,1,35.0,87.299,24.361,33.564,29.374,2.0,HARD,22.0,True,McLaren,1,4.0,False,258.0,264.0,,332.0,,6147.759,False,,False
6250.361,NOR,1,36.0,99.962,43.08,32.56,24.322,3.0,HARD,1.0,True,McLaren,1,5.0,False,259.0,269.0,299.0,268.0,6169.751,,False,,False
6330.593,NOR,1,37.0,80.232,23.543,32.468,24.221,3.0,HARD,2.0,True,McLaren,1,5.0,True,264.0,273.0,300.0,326.0,,,False,,False
6411.705,NOR,1,38.0,81.112,23.831,32.939,24.342,3.0,HARD,3.0,True,McLaren,1,5.0,True,262.0,263.0,300.0,337.0,,,False,,False
6492.87,NOR,1,39.0,81.165,23.47,33.243,24.452,3.0,HARD,4.0,True,McLaren,1,4.0,True,261.0,259.0,301.0,337.0,,,False,,False
6581.259,NOR,1,40.0,88.389,23.347,33.246,31.796,3.0,HARD,5.0,True,McLaren,126,4.0,False,259.0,269.0,199.0,336.0,,,False,,False
6688.197,NOR,1,41.0,106.938,30.39,46.147,30.401,3.0,HARD,6.0,True,McLaren,6,4.0,False,187.0,225.0,202.0,260.0,,,False,,False
6773.271,NOR,1,42.0,85.074,28.197,32.459,24.418,3.0,HARD,7.0,True,McLaren,671,4.0,False,266.0,266.0,299.0,252.0,,,False,,False
6854.202,NOR,1,43.0,80.931,23.706,32.674,24.551,3.0,HARD,8.0,True,McLaren,1,4.0,True,261.0,266.0,299.0,336.0,,,False,,False
6935.008,NOR,1,44.0,80.806,23.673,32.782,24.351,3.0,HARD,9.0,True,McLaren,1,4.0,True,264.0,265.0,300.0,334.0,,,False,,False
7015.936,NOR,1,45.0,80.928,23.674,32.754,24.5,3.0,HARD,10.0,True,McLaren,1,4.0,True,262.0,271.0,299.0,336.0,,,False,,False
7096.766,NOR,1,46.0,80.83,23.5,32.761,24.569,3.0,HARD,11.0,True,McLaren,1,4.0,True,264.0,271.0,299.0,335.0,,,False,,False
7177.714,NOR,1,47.0,80.948,23.589,32.809,24.55,3.0,HARD,12.0,True,McLaren,1,4.0,True,258.0,271.0,299.0,335.0,,,False,,False
7258.914,NOR,1,48.0,81.2,23.621,33.007,24.572,3.0,HARD,13.0,True,McLaren,1,4.0,True,258.0,272.0,299.0,334.0,,,False,,False
7340.176,NOR,1,49.0,81.262,23.694,32.89,24.678,3.0,HARD,14.0,True,McLaren,1,4.0,True,262.0,278.0,299.0,333.0,,,False,,False
7421.138,NOR,1,50.0,80.962,23.594,32.842,24.526,3.0,HARD,15.0,True,McLaren,1,4.0,True,266.0,277.0,300.0,336.0,,,False,,False
7502.391,NOR,1,51.0,81.253,23.659,33.065,24.529,3.0,HARD,16.0,True,McLaren,1,4.0,True,266.0,276.0,300.0,336.0,,,False,,False
7583.997,NOR,1,52.0,81.606,23.631,33.095,24.88,3.0,HARD,17.0,True,McLaren,1,4.0,True,258.0,271.0,299.0,336.0,,,False,,False
7665.808,NOR,1,53.0,81.811,23.832,33.088,24.891,3.0,HARD,18.0,True,McLaren,1,4.0,True,262.0,269.0,298.0,336.0,,,False,,False
7747.617,NOR,1,54.0,81.809,23.8,33.133,24.876,3.0,HARD,19.0,True,McLaren,1,4.0,True,267.0,263.0,300.0,336.0,,,False,,False
7829.581,NOR,1,55.0,81.964,23.877,33.254,24.833,3.0,HARD,20.0,True,McLaren,1,4.0,True,267.0,274.0,296.0,336.0,,,False,,False
7911.708,NOR,1,56.0,82.127,24.03,33.276,24.821,3.0,HARD,21.0,True,McLaren,1,4.0,True,260.0,267.0,298.0,336.0,,,False,,False
7993.931,NOR,1,57.0,82.223,23.853,33.339,25.031,3.0,HARD,22.0,True,McLaren,1,4.0,True,264.0,257.0,296.0,335.0,,,False,,False
8076.183,NOR,1,58.0,82.252,23.823,33.543,24.886,3.0,HARD,23.0,True,McLaren,1,4.0,True,261.0,266.0,296.0,334.0,,,False,,False
8158.672,NOR,1,59.0,82.489,23.994,33.42,25.075,3.0,HARD,24.0,True,McLaren,1,4.0,True,261.0,273.0,295.0,334.0,,,False,,False
8241.072,NOR,1,60.0,82.4,24.035,33.315,25.05,3.0,HARD,25.0,True,McLaren,1,4.0,True,262.0,267.0,296.0,333.0,,,False,,False
8324.214,NOR,1,61.0,83.142,24.207,33.648,25.287,3.0,HARD,26.0,True,McLaren,1,4.0,True,270.0,267.0,296.0,332.0,,,False,,False
8406.938,NOR,1,62.0,82.724,24.048,33.546,25.13,3.0,HARD,27.0,True,McLaren,126,3.0,False,269.0,275.0,296.0,334.0,,,False,,False
8516.411,NOR,1,63.0,109.473,32.145,44.414,32.914,3.0,HARD,28.0,True,McLaren,6,3.0,False,159.0,169.0,177.0,175.0,,,False,,False
8624.752,NOR,1,64.0,108.341,30.638,44.146,33.557,3.0,HARD,29.0,True,McLaren,6,3.0,False,172.0,213.0,199.0,267.0,,,False,,False
8710.762,NOR,1,65.0,86.01,27.45,33.429,25.131,3.0,HARD,30.0,True,McLaren,671,3.0,False,256.0,250.0,293.0,259.0,,,False,,False
8793.163,NOR,1,66.0,82.401,23.985,33.349,25.067,3.0,HARD,31.0,True,McLaren,1,3.0,True,267.0,260.0,295.0,330.0,,,False,,False
3313.438,GAS,10,1.0,92.099,,35.429,25.735,1.0,MEDIUM,1.0,True,Alpine,1,12.0,False,216.0,245.0,295.0,297.0,,,False,,False
3397.741,GAS,10,2.0,84.303,24.204,34.532,25.567,1.0,MEDIUM,2.0,True,Alpine,1,12.0,True,239.0,235.0,296.0,345.0,,,False,,False
3481.96,GAS,10,3.0,84.219,24.0,34.587,25.632,1.0,MEDIUM,3.0,True,Alpine,1,12.0,True,240.0,236.0,295.0,351.0,,,False,,False
3566.487,GAS,10,4.0,84.527,24.239,34.535,25.753,1.0,MEDIUM,4.0,True,Alpine,1,12.0,True,240.0,242.0,290.0,351.0,,,False,,False
3651.584,GAS,10,5.0,85.097,24.441,34.833,25.823,1.0,MEDIUM,5.0,True,Alpine,1,12.0,True,232.0,243.0,291.0,348.0,,,False,,False
3737.392,GAS,10,6.0,85.808,24.558,35.254,25.996,1.0,MEDIUM,6.0,True,Alpine,1,13.0,True,225.0,255.0,288.0,351.0,,,False,,False
3822.778,GAS,10,7.0,85.386,24.429,34.792,26.165,1.0,MEDIUM,7.0,True,Alpine,1,13.0,True,243.0,247.0,289.0,350.0,,,False,,False
3908.498,GAS,10,8.0,85.72,24.435,35.203,26.082,1.0,MEDIUM,8.0,True,Alpine,1,13.0,True,230.0,250.0,290.0,350.0,,,False,,False
3994.552,GAS,10,9.0,86.054,24.409,35.397,26.248,1.0,MEDIUM,9.0,True,Alpine,1,13.0,True,234.0,246.0,290.0,350.0,,,False,,False
4080.607,GAS,10,10.0,86.055,24.495,35.281,26.279,1.0,MEDIUM,10.0,True,Alpine,1,13.0,True,236.0,251.0,288.0,351.0,,,True,TRACK LIMITS AT TURN 13 LAP 10 ,False
4166.561,GAS,10,11.0,85.954,24.64,35.135,26.179,1.0,MEDIUM,11.0,True,Alpine,1,13.0,True,245.0,254.0,291.0,351.0,,,False,,False
4252.367,GAS,10,12.0,85.806,24.436,35.155,26.215,1.0,MEDIUM,12.0,True,Alpine,1,11.0,True,239.0,251.0,288.0,350.0,,,False,,False
4338.165,GAS,10,13.0,85.798,24.767,34.894,26.137,1.0,MEDIUM,13.0,True,Alpine,1,11.0,True,244.0,259.0,289.0,347.0,,,False,,False
4427.91,GAS,10,14.0,89.745,24.685,35.057,30.003,1.0,MEDIUM,14.0,True,Alpine,1,10.0,False,244.0,255.0,,336.0,,4425.183,False,,False
4530.709,GAS,10,15.0,102.799,44.085,33.504,25.21,2.0,HARD,1.0,True,Alpine,1,15.0,False,247.0,262.0,292.0,253.0,4447.943,,False,,False
4613.732,GAS,10,16.0,83.023,23.989,33.724,25.31,2.0,HARD,2.0,True,Alpine,1,14.0,True,248.0,256.0,291.0,334.0,,,False,,False
4696.969,GAS,10,17.0,83.237,24.022,33.972,25.243,2.0,HARD,3.0,True,Alpine,1,14.0,True,261.0,263.0,292.0,335.0,,,False,,False
4780.481,GAS,10,18.0,83.512,24.019,34.008,25.485,2.0,HARD,4.0,True,Alpine,1,13.0,True,258.0,260.0,293.0,337.0,,,False,,False
4864.1,GAS,10,19.0,83.619,24.062,34.044,25.513,2.0,HARD,5.0,True,Alpine,1,12.0,True,254.0,257.0,292.0,339.0,,,False,,False
4947.926,GAS,10,20.0,83.826,24.125,34.208,25.493,2.0,HARD,6.0,True,Alpine,1,12.0,True,255.0,252.0,291.0,335.0,,,False,,False
5031.715,GAS,10,21.0,83.789,24.229,33.83,25.73,2.0,HARD,7.0,True,Alpine,1,12.0,True,260.0,252.0,292.0,336.0,,,False,,False
5115.703,GAS,10,22.0,83.988,24.163,34.142,25.683,2.0,HARD,8.0,True,Alpine,1,12.0,True,265.0,256.0,293.0,337.0,,,False,,False
5199.799,GAS,10,23.0,84.096,24.112,34.262,25.722,2.0,HARD,9.0,True,Alpine,1,11.0,True,260.0,255.0,293.0,338.0,,,False,,False
5284.926,GAS,10,24.0,85.127,24.287,34.895,25.945,2.0,HARD,10.0,True,Alpine,1,11.0,True,244.0,246.0,292.0,348.0,,,False,,False
5369.532,GAS,10,25.0,84.606,24.214,34.5,25.892,2.0,HARD,11.0,True,Alpine,1,11.0,True,246.0,252.0,291.0,349.0,,,False,,False
5454.184,GAS,10,26.0,84.652,24.195,34.594,25.863,2.0,HARD,12.0,True,Alpine,1,11.0,True,255.0,254.0,290.0,348.0,,,False,,False
5539.309,GAS,10,27.0,85.125,24.485,34.809,25.831,2.0,HARD,13.0,True,Alpine,1,11.0,True,249.0,254.0,287.0,349.0,,,False,,False
5624.452,GAS,10,28.0,85.143,24.46,34.532,26.151,2.0,HARD,14.0,True,Alpine,1,11.0,True,257.0,252.0,289.0,335.0,,,False,,False
5709.227,GAS,10,29.0,84.775,24.391,34.498,25.886,2.0,HARD,15.0,True,Alpine,1,10.0,True,256.0,271.0,291.0,336.0,,,False,,False
5793.814,GAS,10,30.0,84.587,24.403,34.391,25.793,2.0,HARD,16.0,True,Alpine,1,10.0,True,252.0,262.0,290.0,334.0,,,False,,False
5878.548,GAS,10,31.0,84.734,24.52,34.347,25.867,2.0,HARD,17.0,True,Alpine,1,10.0,True,254.0,259.0,292.0,334.0,,,False,,False
5963.425,GAS,10,32.0,84.877,24.408,34.546,25.923,2.0,HARD,18.0,True,Alpine,1,10.0,True,260.0,262.0,291.0,335.0,,,False,,False
6048.784,GAS,10,33.0,85.359,24.523,34.922,25.914,2.0,HARD,19.0,True,Alpine,1,10.0,True,243.0,256.0,290.0,347.0,,,False,,False
6133.897,GAS,10,34.0,85.113,24.45,34.685,25.978,2.0,HARD,20.0,True,Alpine,1,10.0,True,256.0,262.0,291.0,348.0,,,False,,False
6218.965,GAS,10,35.0,85.068,24.431,34.758,25.879,2.0,HARD,21.0,True,Alpine,1,9.0,True,249.0,264.0,290.0,348.0,,,False,,False
6303.282,GAS,10,36.0,84.317,24.24,34.283,25.794,2.0,HARD,22.0,True,Alpine,1,9.0,True,259.0,264.0,289.0,345.0,,,False,,False
6388.387,GAS,10,37.0,85.105,24.561,34.412,26.132,2.0,HARD,23.0,True,Alpine,1,9.0,True,253.0,252.0,289.0,332.0,,,False,,False
6475.12,GAS,10,38.0,86.733,24.778,34.876,27.079,2.0,HARD,24.0,True,Alpine,1,9.0,True,260.0,261.0,291.0,332.0,,,False,,False
6563.794,GAS,10,39.0,88.674,24.607,34.862,29.205,2.0,HARD,25.0,True,Alpine,126,9.0,False,247.0,260.0,115.0,348.0,,,False,,False
6672.314,GAS,10,40.0,108.52,30.471,44.025,34.024,2.0,HARD,26.0,True,Alpine,6,9.0,False,221.0,233.0,,299.0,,6669.651,False,,False
6775.714,GAS,10,41.0,103.4,45.587,32.929,24.884,3.0,HARD,1.0,True,Alpine,671,9.0,False,250.0,264.0,295.0,248.0,6692.943,,False,,False
6857.422,GAS,10,42.0,81.708,23.728,33.155,24.825,3.0,HARD,2.0,True,Alpine,1,9.0,True,265.0,262.0,295.0,336.0,,,True,TRACK LIMITS AT TURN 13 LAP 42 ,False
6939.382,GAS,10,43.0,81.96,23.865,33.267,24.828,3.0,HARD,3.0,True,Alpine,1,9.0,True,259.0,259.0,295.0,334.0,,,False,,False
7021.396,GAS,10,44.0,82.014,23.74,33.245,25.029,3.0,HARD,4.0,True,Alpine,1,9.0,True,269.0,261.0,294.0,336.0,,,False,,False
7104.087,GAS,10,45.0,82.691,23.891,33.277,25.523,3.0,HARD,5.0,True,Alpine,1,9.0,True,268.0,261.0,291.0,337.0,,,False,,False
7186.649,GAS,10,46.0,82.562,23.926,33.455,25.181,3.0,HARD,6.0,True,Alpine,1,9.0,True,267.0,266.0,294.0,333.0,,,False,,False
7269.765,GAS,10,47.0,83.116,24.04,33.739,25.337,3.0,HARD,7.0,True,Alpine,1,9.0,True,264.0,262.0,291.0,332.0,,,False,,False
7352.555,GAS,10,48.0,82.79,24.073,33.449,25.268,3.0,HARD,8.0,True,Alpine,1,9.0,True,265.0,264.0,292.0,332.0,,,False,,False
7435.547,GAS,10,49.0,82.992,23.957,33.738,25.297,3.0,HARD,9.0,True,Alpine,1,9.0,True,266.0,251.0,293.0,332.0,,,False,,False
7518.659,GAS,10,50.0,83.112,24.249,33.561,25.302,3.0,HARD,10.0,True,Alpine,1,9.0,True,256.0,261.0,293.0,332.0,,,False,,False
7601.851,GAS,10,51.0,83.192,24.157,33.735,25.3,3.0,HARD,11.0,True,Alpine,1,9.0,True,265.0,254.0,294.0,332.0,,,False,,False
7686.399,GAS,10,52.0,84.548,24.157,35.063,25.328,3.0,HARD,12.0,True,Alpine,1,9.0,True,253.0,256.0,293.0,332.0,,,False,,False
7771.396,GAS,10,53.0,84.997,24.194,35.025,25.778,3.0,HARD,13.0,True,Alpine,1,9.0,True,262.0,220.0,294.0,334.0,,,False,,False
7854.822,GAS,10,54.0,83.426,24.071,34.043,25.312,3.0,HARD,14.0,True,Alpine,1,9.0,True,256.0,263.0,293.0,348.0,,,False,,False
7938.196,GAS,10,55.0,83.374,24.205,33.872,25.297,3.0,HARD,15.0,True,Alpine,1,9.0,True,264.0,264.0,294.0,335.0,,,False,,False
8021.223,GAS,10,56.0,83.027,24.048,33.65,25.329,3.0,HARD,16.0,True,Alpine,1,9.0,True,260.0,271.0,292.0,335.0,,,False,,False
8104.229,GAS,10,57.0,83.006,24.111,33.559,25.336,3.0,HARD,17.0,True,Alpine,1,9.0,True,262.0,271.0,295.0,334.0,,,False,,False
8187.362,GAS,10,58.0,83.133,24.031,33.615,25.487,3.0,HARD,18.0,True,Alpine,1,9.0,True,265.0,260.0,293.0,334.0,,,False,,False
8270.544,GAS,10,59.0,83.182,24.184,33.552,25.446,3.0,HARD,19.0,True,Alpine,1,9.0,True,264.0,264.0,292.0,334.0,,,False,,False
8353.836,GAS,10,60.0,83.292,24.168,33.68,25.444,3.0,HARD,20.0,True,Alpine,1,9.0,True,260.0,259.0,293.0,334.0,,,False,,False
8448.091,GAS,10,61.0,94.255,24.439,37.753,32.063,3.0,HARD,21.0,True,Alpine,126,9.0,False,256.0,236.0,228.0,334.0,,,False,,False
8555.541,GAS,10,62.0,107.45,32.218,45.187,30.045,3.0,HARD,22.0,True,Alpine,6,8.0,False,217.0,225.0,228.0,233.0,,,False,,False
8658.326,GAS,10,63.0,102.785,31.805,43.409,27.571,3.0,HARD,23.0,True,Alpine,671,7.0,False,226.0,232.0,294.0,240.0,,,False,,False
8741.611,GAS,10,64.0,83.285,24.219,33.696,25.37,3.0,HARD,24.0,True,Alpine,1,7.0,True,259.0,259.0,291.0,331.0,,,False,,False
8825.233,GAS,10,65.0,83.622,24.302,33.939,25.381,3.0,HARD,25.0,True,Alpine,1,7.0,True,255.0,253.0,293.0,332.0,,,False,,False
3316.234,PER,11,1.0,94.895,,36.014,26.63,1.0,SOFT,1.0,True,Cadillac,1,19.0,False,222.0,226.0,292.0,314.0,,,False,,False
3401.783,PER,11,2.0,85.549,24.677,34.998,25.874,1.0,SOFT,2.0,True,Cadillac,1,19.0,True,223.0,233.0,290.0,350.0,,,False,,False
3487.161,PER,11,3.0,85.378,24.482,34.882,26.014,1.0,SOFT,3.0,True,Cadillac,1,19.0,True,230.0,240.0,287.0,346.0,,,False,,False
3572.862,PER,11,4.0,85.701,24.472,34.898,26.331,1.0,SOFT,4.0,True,Cadillac,1,19.0,True,233.0,245.0,285.0,346.0,,,False,,False
3658.63,PER,11,5.0,85.768,24.677,34.805,26.286,1.0,SOFT,5.0,True,Cadillac,1,19.0,True,230.0,244.0,287.0,346.0,,,False,,False
3744.646,PER,11,6.0,86.016,24.732,34.942,26.342,1.0,SOFT,6.0,True,Cadillac,1,19.0,True,237.0,247.0,285.0,345.0,,,False,,False
3830.736,PER,11,7.0,86.09,24.905,34.724,26.461,1.0,SOFT,7.0,True,Cadillac,1,19.0,True,240.0,246.0,284.0,330.0,,,False,,False
3917.218,PER,11,8.0,86.482,25.05,35.1,26.332,1.0,SOFT,8.0,True,Cadillac,1,19.0,True,241.0,256.0,284.0,329.0,,,False,,False
4004.12,PER,11,9.0,86.902,25.091,35.283,26.528,1.0,SOFT,9.0,True,Cadillac,1,19.0,True,244.0,246.0,286.0,327.0,,,False,,False
4090.848,PER,11,10.0,86.728,25.157,35.101,26.47,1.0,SOFT,10.0,True,Cadillac,1,19.0,True,240.0,258.0,284.0,326.0,,,False,,False
4177.838,PER,11,11.0,86.99,25.109,35.201,26.68,1.0,SOFT,11.0,True,Cadillac,1,19.0,True,236.0,253.0,283.0,327.0,,,False,,False
4269.186,PER,11,12.0,91.348,25.22,35.223,30.905,1.0,SOFT,12.0,True,Cadillac,1,19.0,False,244.0,240.0,,326.0,,4266.4,False,,False
4375.655,PER,11,13.0,106.469,46.593,34.216,25.66,2.0,HARD,1.0,True,Cadillac,1,21.0,False,237.0,247.0,290.0,265.0,4291.254,,False,,False
4460.331,PER,11,14.0,84.676,24.739,34.327,25.61,2.0,HARD,2.0,True,Cadillac,1,21.0,True,242.0,252.0,289.0,319.0,,,False,,False
4544.551,PER,11,15.0,84.22,24.532,34.1,25.588,2.0,HARD,3.0,True,Cadillac,1,20.0,True,250.0,264.0,289.0,325.0,,,False,,False
4629.973,PER,11,16.0,85.422,24.711,34.751,25.96,2.0,HARD,4.0,True,Cadillac,1,20.0,True,223.0,251.0,289.0,327.0,,,False,,False
4715.092,PER,11,17.0,85.119,24.673,34.467,25.979,2.0,HARD,5.0,True,Cadillac,1,20.0,True,244.0,263.0,286.0,327.0,,,False,,False
4800.11,PER,11,18.0,85.018,24.574,34.517,25.927,2.0,HARD,6.0,True,Cadillac,1,20.0,True,247.0,258.0,289.0,327.0,,,False,,False
4886.359,PER,11,19.0,86.249,24.813,34.814,26.622,2.0,HARD,7.0,True,Cadillac,1,19.0,True,246.0,251.0,285.0,327.0,,,False,,False
4972.695,PER,11,20.0,86.336,24.716,34.863,26.757,2.0,HARD,8.0,True,Cadillac,1,19.0,True,248.0,250.0,287.0,341.0,,,False,,False
5058.206,PER,11,21.0,85.511,24.609,34.682,26.22,2.0,HARD,9.0,True,Cadillac,1,19.0,True,245.0,256.0,287.0,344.0,,,False,,False
5145.209,PER,11,22.0,87.003,24.833,35.317,26.853,2.0,HARD,10.0,True,Cadillac,1,19.0,True,241.0,206.0,286.0,325.0,,,False,,False
5233.082,PER,11,23.0,87.873,25.656,35.455,26.762,2.0,HARD,11.0,True,Cadillac,1,19.0,True,237.0,193.0,285.0,298.0,,,False,,False
5319.714,PER,11,24.0,86.632,25.382,34.915,26.335,2.0,HARD,12.0,True,Cadillac,1,19.0,True,246.0,246.0,287.0,309.0,,,False,,False
5405.953,PER,11,25.0,86.239,25.029,34.846,26.364,2.0,HARD,13.0,True,Cadillac,1,19.0,True,245.0,256.0,288.0,324.0,,,False,,False
5494.561,PER,11,26.0,88.608,26.074,36.015,26.519,2.0,HARD,14.0,True,Cadillac,1,19.0,True,247.0,251.0,284.0,270.0,,,False,,False
5581.545,PER,11,27.0,86.984,25.217,35.241,26.526,2.0,HARD,15.0,True,Cadillac,1,19.0,True,249.0,252.0,285.0,326.0,,,False,,False
5668.908,PER,11,28.0,87.363,25.759,35.131,26.473,2.0,HARD,16.0,True,Cadillac,1,19.0,True,238.0,258.0,287.0,299.0,,,False,,False
5755.364,PER,11,29.0,86.456,25.09,34.983,26.383,2.0,HARD,17.0,True,Cadillac,1,19.0,True,245.0,256.0,286.0,323.0,,,False,,False
5842.063,PER,11,30.0,86.699,25.009,35.003,26.687,2.0,HARD,18.0,True,Cadillac,1,17.0,True,250.0,246.0,286.0,323.0,,,False,,False
5933.871,PER,11,31.0,91.808,25.242,35.97,30.596,2.0,HARD,19.0,True,Cadillac,1,17.0,False,241.0,257.0,,322.0,,5931.188,False,,False
6039.108,PER,11,32.0,105.237,46.166,33.736,25.335,3.0,HARD,1.0,True,Cadillac,1,19.0,False,240.0,254.0,290.0,267.0,5955.617,,False,,False
6122.707,PER,11,33.0,83.599,24.487,33.699,25.413,3.0,HARD,2.0,True,Cadillac,1,19.0,True,249.0,259.0,291.0,316.0,,,False,,False
6207.995,PER,11,34.0,85.288,24.519,34.541,26.228,3.0,HARD,3.0,True,Cadillac,1,19.0,True,254.0,213.0,290.0,317.0,,,False,,False
6292.301,PER,11,35.0,84.306,24.323,34.442,25.541,3.0,HARD,4.0,True,Cadillac,1,18.0,True,252.0,260.0,293.0,341.0,,,False,,False
6377.184,PER,11,36.0,84.883,24.603,34.28,26.0,3.0,HARD,5.0,True,Cadillac,1,18.0,True,250.0,268.0,290.0,325.0,,,False,,False
6463.012,PER,11,37.0,85.828,24.55,35.061,26.217,3.0,HARD,6.0,True,Cadillac,1,18.0,True,236.0,247.0,292.0,333.0,,,False,,False
6547.729,PER,11,38.0,84.717,24.486,34.293,25.938,3.0,HARD,7.0,True,Cadillac,12,17.0,True,251.0,252.0,289.0,339.0,,,False,,False
